"Kode PT","Nama PT","Jalan","No Telepon dan Faksmil","Email","Website","Wilayah"
"051001","Universitas Islam Indonesia","Jalan Kaliurang Km 14,5 Sleman - 55584","T: 0274-898444 F: 0274-898459","rektorat@uii.ac.id","www.uii.ac.id","Kabupaten Sleman"
"051002","Universitas Sarjanawiyata Tamansiswa","Jalan Kusumanegara No 157, Yogyakarta - 55165","T: 0274375637 F: 0274-547042","humas@ustjogja.ac.id","www.ustjogja.ac.id","Kota Yogyakarta"
"051003","Universitas Janabadra","Jl Tentara Rakyat Mataram 55  - 55231","T: (0274)561039 F: (0274)561039","info@janabadra.ac.id","www.janabadra.ac.id","Kota Yogyakarta"
"051004","Universitas Proklamasi  45","Jalan Proklamasi No 1 Babarsari - 55281","T: 0274-485517, 485535 F: 0274-486008","info@up45.ac.id","up45.ac.id","Kabupaten Sleman"
"051005","Universitas Atma Jaya Yogyakarta","Jalan Babarsari No 44  - 55281","T: 0274-487711 F: 0274-487748","kaa@uajy.ac.id","www.uajy.ac.id","Kabupaten Sleman"
"051006","Universitas Cokroaminoto Yogyakarta","Jalan Perintis Kemerdekaan Gambiran-Umbulharjo - 55161","T: (0274)372274 F: (0274)4340644","info@ucy.ac.id","www.ucy.ac.id","Kota Yogyakarta"
"051007","Universitas Muhammadiyah Yogyakarta","Jl Lingkar Barat Tamantirto Kasihan Bantul Yogyakarta - 55183","T: 0274-387656 F: 0274-387646","rektorat@umy.ac.id","www.umy.ac.id","Kabupaten Bantul"
"051008","Universitas Widya Mataram","Ndalem Mangkubumen KT III/237 Yogyakarta  - 55132","T: 0274-374352 F: 0274-381722","info@widyamataram.ac.id","www.widyamataram.ac.id","Kota Yogyakarta"
"051010","Universitas Kristen Immanuel","Jalan Solo KM 11  - 57452","T: 0274-496256;496257 F: 0274-496423","humas@ukrimuniversity.ac.id","www.ukrimuniversity.ac.id","Kabupaten Sleman"
"051011","Universitas Kristen Duta Wacana","Jalan Dr Wahidin 5-19  - 55224","T: 0274563929 F: 0274513235","humas@staff.ukdw.ac.id","www.ukdw.ac.id","Kota Yogyakarta"
"051012","Universitas Sanata Dharma","Jalan Mrican Tromolpos 29  - 55281","T: 0274-513301 F: 0274-562383","rektorat@usd.ac.id","www.usd.ac.id","Kabupaten Sleman"
"051013","Universitas Ahmad Dahlan","Jalan Kapas No 9 Semaki  - 55166","T: 0274-563515, 511830 F: 0274-564604","info@uad.ac.id","uad.ac.id","Kota Yogyakarta"
"051015","Universitas PGRI Yogyakarta","Jalan PGRI Sonosewu No 117  - 55182","T: (0274) 376808 F: (0274) 376808","info@upy.ac.id","www.upy.ac.id","Kabupaten Bantul"
"051017","Universitas Gunung Kidul","Jalan KH Agus Salim No 170 Wonosari, Gunungkidul, D.I. Yogyakarta - 55813","T: 0274-391342 F: 0274-391342","univ_gunungkidul@yahoo.co.id ; univ_gunungkidul@ugk.ac.id","www.ugk.ac.id","Kabupaten Gunungkidul"
"051018","Universitas Teknologi Yogyakarta","Jalan Ring Road Utara Jombor Sleman - 55285","T: 0274-623310 F: 0274-623306","info@uty.ac.id","uty.ac.id","Kabupaten Sleman"
"051019","Universitas Mercu Buana Yogyakarta","Kampus I : Jalan Wates KM 10 Yogyakarta 55753 Kampus II : Jalan Jembatan Merah 8 - 55753","T: 0274-6498212 F: 0274-6498213","humas@mercubuana-yogya.ac.id","www.mercubuana-yogya.ac.id","Kabupaten Bantul"
"051020","Universitas Respati Yogyakarta","Jl Laksda Adisutjipto KM 6,5 Sleman - 55555","T: 0274 488781 F: 0274 489780","unriyo@respati.ac.id","www.respati.ac.id","Kabupaten Sleman"
"051021","Universitas Alma Ata","Jalan Ringroad Barat Daya No 1 Tamantirto - 55011","T: (0274) 434 2288 F:  (0274) 434 2269","admin@almaata.ac.id; uaa@almaata.ac.id","almaata.ac.id","Kabupaten Bantul"
