kode,nama,ranking,klaster,input,proses,output,outcome,total
002003,Institut Pertanian Bogor,1,1,3.960,3.757,3.554,3.427,3.648
001002,Universitas Indonesia,2,1,3.521,3.629,3.549,3.049,3.414
001001,Universitas Gadjah Mada,3,1,3.685,3.301,3.385,3.022,3.315
001004,Universitas Airlangga,4,1,3.410,3.667,3.279,2.934,3.299
002001,Institut Teknologi Bandung,5,1,3.511,3.480,3.145,3.055,3.275
002002,Institut Teknologi Sepuluh Nopember,6,1,3.582,3.272,3.310,2.855,3.218
001005,Universitas Hasanuddin,7,1,4.000,3.595,2.825,2.521,3.161
001019,Universitas Brawijaya,8,1,2.961,3.646,3.226,2.836,3.161
001008,Universitas Diponegoro,9,1,3.318,3.244,3.081,2.888,3.111
001007,Universitas Padjadjaran,10,1,3.575,3.672,2.593,2.419,3.007
001027,Universitas Sebelas Maret,11,1,3.162,3.143,2.867,2.650,2.930
001038,Universitas Negeri Yogyakarta,12,1,3.381,3.722,2.401,2.336,2.908
001006,Universitas Andalas,13,1,3.553,3.242,2.360,2.496,2.860
001003,Universitas Sumatera Utara,14,1,3.476,3.296,2.377,2.263,2.792
001033,Universitas Negeri Malang,15,1,3.112,3.474,2.562,2.052,2.747
001034,Universitas Pendidikan Indonesia,16,2,3.735,3.336,2.589,1.458,2.666
041057,Universitas Telkom,17,2,2.014,3.523,2.003,2.798,2.624
001041,Universitas Negeri Semarang,18,2,3.026,3.551,2.048,1.967,2.595
001039,Universitas Negeri Surabaya,19,2,3.011,3.505,1.817,1.815,2.477
001037,Universitas Negeri Jakarta,20,2,2.752,3.446,1.974,1.865,2.465
071002,Universitas Kristen Petra,21,2,2.541,3.383,1.473,2.208,2.385
001025,Universitas Jember,22,2,2.870,3.098,1.467,2.142,2.358
001013,Universitas Udayana,23,2,3.546,3.504,1.310,1.455,2.349
001011,Universitas Syiah Kuala,24,2,3.015,3.527,1.500,1.623,2.347
051001,Universitas Islam Indonesia,25,2,2.060,3.297,2.099,1.840,2.313
031038,Universitas Bina Nusantara,26,2,2.077,3.641,2.105,1.386,2.268
031016,Universitas Trisakti,27,2,2.450,3.263,1.586,1.863,2.261
001017,Universitas Riau,28,2,3.147,2.889,1.626,1.662,2.257
001026,Universitas Lampung,29,2,2.822,3.034,1.687,1.589,2.221
071004,Universitas Surabaya,30,2,2.447,3.370,1.888,1.391,2.221
031015,Universitas Tarumanagara,31,2,2.360,3.336,1.425,1.678,2.166
041006,Universitas Katolik Parahyangan,32,2,2.705,3.047,1.270,1.786,2.156
031019,Universitas Mercu Buana,33,2,1.693,3.436,1.387,2.025,2.152
001009,Universitas Sriwijaya,34,2,2.961,2.805,1.521,1.593,2.152
051007,Universitas Muhammadiyah Yogyakarta,35,2,1.954,3.100,1.758,1.817,2.150
001036,Universitas Negeri Makassar,36,2,3.443,2.738,1.434,1.375,2.144
031007,Universitas Katolik Indonesia Atma Jaya,37,2,2.470,3.149,1.477,1.581,2.125
051005,Universitas Atma Jaya Yogyakarta,38,2,2.583,3.404,1.315,1.376,2.109
001040,Universitas Negeri Medan,39,2,2.970,3.403,1.016,1.347,2.103
001012,Universitas Sam Ratulangi,40,2,3.129,2.961,1.256,1.342,2.083
001016,Universitas Mataram,41,2,2.845,2.978,1.356,1.378,2.066
001048,Universitas Pendidikan Ganesha,42,2,2.992,3.176,1.274,1.182,2.066
051012,Universitas Sanata Dharma,43,2,2.363,3.273,1.187,1.579,2.061
071027,Universitas Islam Malang,44,2,2.225,3.223,1.216,1.643,2.048
031033,Universitas Esa Unggul,45,2,1.814,3.469,1.066,1.823,2.043
071003,Universitas Katolik Widya Mandala Surabaya,46,2,2.094,3.105,1.046,1.900,2.027
001010,Universitas Lambung Mangkurat,47,2,2.707,3.077,1.384,1.213,2.021
071024,Universitas Muhammadiyah Malang,48,2,1.899,3.318,1.116,1.759,2.016
071025,Universitas Merdeka Malang,49,2,2.646,2.912,1.102,1.563,2.001
061012,Universitas Katolik Soegijapranata,50,3,2.351,3.130,1.113,1.550,1.996
041002,Universitas Islam Bandung,51,3,2.524,3.242,1.167,1.254,1.983
051013,Universitas Ahmad Dahlan,52,3,1.726,3.425,1.452,1.368,1.975
071001,Universitas 17 Agustus 1945 Surabaya,53,3,1.883,3.185,1.154,1.695,1.970
001029,Universitas Halu Oleo,54,3,2.738,2.673,1.240,1.454,1.962
071071,Universitas Ciputra Surabaya,55,3,1.601,3.009,1.078,2.035,1.952
061008,Universitas Muhammadiyah Surakarta,56,3,2.015,3.281,1.371,1.209,1.929
041034,Universitas Widyatama,57,3,1.619,2.796,1.711,1.549,1.915
001022,Universitas Tanjungpura,58,3,2.441,3.069,1.160,1.194,1.904
032006,Institut Teknologi Indonesia,59,3,2.601,2.830,1.017,1.391,1.899
001032,Universitas Negeri Padang,60,3,1.604,2.923,1.403,1.640,1.894
031051,Universitas Multimedia Nusantara Jakarta,61,3,1.459,3.048,1.155,1.773,1.875
042002,Institut Teknologi Nasional Bandung,62,3,2.066,3.136,1.036,1.390,1.873
061001,Universitas Kristen Satya Wacana,63,3,2.386,3.240,1.299,0.864,1.871
091002,Universitas Muslim Indonesia,64,3,2.778,2.966,1.045,1.039,1.870
001030,Universitas Bengkulu,65,3,3.107,2.560,1.181,1.034,1.867
072004,Institut Teknologi Nasional Malang,66,3,2.259,2.513,1.115,1.645,1.852
001028,Universitas Tadulako,67,3,2.752,2.790,0.961,1.163,1.837
001059,Universitas Pembangunan Nasional Veteran Jawa Timur,68,3,2.423,2.818,1.229,1.073,1.818
071074,Universitas Ma Chung,69,3,1.931,2.606,1.136,1.645,1.815
001020,Universitas Jambi,70,3,2.634,2.406,0.948,1.491,1.812
041019,Universitas Djuanda,71,3,2.095,2.832,1.164,1.303,1.809
071009,Universitas Wijaya Kusuma Surabaya,72,3,1.980,2.879,1.012,1.445,1.802
031013,Universitas Pancasila,73,3,2.300,2.908,0.806,1.380,1.802
041008,Universitas Pasundan,74,3,2.571,3.190,0.704,1.035,1.799
071030,Universitas Widya Gama,75,3,2.644,2.392,0.977,1.415,1.795
073019,Sekolah Tinggi Ilmu Ekonomi Malangkucecwara,76,3,2.506,2.904,0.809,1.136,1.770
071008,Universitas Narotama,77,3,2.216,2.919,1.159,0.998,1.762
073001,Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya,78,3,2.008,3.118,0.777,1.287,1.761
041041,Universitas Presiden,79,3,2.323,2.722,1.104,1.116,1.756
031037,Universitas Gunadarma,80,3,1.815,3.401,1.155,0.835,1.753
041027,Universitas Komputer Indonesia,81,3,1.639,3.159,1.054,1.231,1.750
091049,Universitas Bosowa,82,3,2.839,2.820,0.555,1.112,1.745
101001,Universitas Bung Hatta,83,3,2.651,2.587,0.952,1.086,1.741
041007,Universitas Kristen Maranatha,84,3,1.854,3.236,0.962,1.068,1.741
073002,Sekolah Tinggi Ilmu Ekonomi Perbanas Surabaya,85,3,2.357,3.279,0.846,0.793,1.741
001047,Universitas Negeri Gorontalo,86,3,2.578,3.197,0.926,0.635,1.737
031044,Universitas Al-azhar Indonesia,87,3,1.610,2.912,1.024,1.343,1.709
033114,Sekolah Tinggi Pariwisata Trisakti,88,3,2.007,3.285,0.825,0.930,1.708
071050,Universitas Kanjuruhan,89,3,1.583,2.828,0.994,1.448,1.707
052003,Institut Sains Dan Teknologi Akprind,90,3,2.217,2.796,1.066,0.979,1.703
031034,Universitas Pelita Harapan,91,3,2.129,3.139,1.024,0.771,1.698
041053,Universitas Pembangunan Jaya,92,3,1.649,2.655,1.120,1.400,1.694
001061,Universitas Pembangunan Nasional Veteran Jakarta,93,3,1.703,2.991,0.999,1.184,1.693
061004,Universitas Muhammadiyah Magelang,94,3,1.371,2.971,1.132,1.299,1.690
033001,Sekolah Tinggi Filsafat Driyarkara,95,3,3.321,3.020,0.230,0.706,1.688
021004,Universitas Muhammadiyah Metro,96,3,1.726,2.757,0.790,1.520,1.688
041033,Universitas Pamulang,97,3,0.823,2.901,0.991,1.819,1.683
031026,Universitas Yarsi,98,3,1.912,2.965,0.868,1.140,1.683
051011,Universitas Kristen Duta Wacana,99,3,2.038,2.899,0.903,1.057,1.675
001062,Universitas Pembangunan Nasional Veteran Yogyakarta,100,3,2.384,2.958,1.289,0.450,1.674
071091,Universitas PGRI Madiun,101,3,1.539,2.923,0.824,1.407,1.667
031012,Universitas Nasional,102,3,2.122,3.208,1.060,0.582,1.666
001015,Universitas Mulawarman,103,3,2.565,2.587,0.760,1.051,1.665
061031,Universitas Dian Nuswantoro,104,3,0.822,2.412,1.261,1.923,1.659
031011,Universitas Muhammadiyah Jakarta,105,3,1.822,3.111,0.868,0.999,1.659
031053,Universitas Bakrie,106,3,1.744,3.098,0.721,1.180,1.658
031045,Universitas Budi Luhur,107,3,1.561,2.945,0.960,1.230,1.657
061038,Universitas PGRI Semarang,108,3,1.630,2.845,1.036,1.197,1.655
031010,Universitas Kristen Krida Wacana,109,3,1.864,2.939,0.916,1.050,1.651
101011,Universitas Internasional Batam,110,3,1.611,3.263,0.621,1.177,1.646
001043,Universitas Trunojoyo,111,3,1.996,2.755,0.898,1.109,1.645
071042,Universitas Merdeka Madiun,112,3,2.176,2.428,0.860,1.293,1.645
081004,Universitas Pendidikan Nasional,113,3,2.389,3.139,0.927,0.490,1.641
